NATION,CODE,GROUP,,,
Algeria,ALG,Q,,,
American Samoa,ASA,L,,,
Andorra,AND,E,,,
Angola,ANG,Q,,,
Antigua,ANT,O,,,
Argentina,ARG,M,,,
Armenia,ARM,H,,,
Aruba,ARU,O,,,
Australia,AUS,L,,,
Austria,AUT,B,,,
Azerbaijan,AZE,H,,,
Bahamas,BAH,O,,,
Bahrain,BRN,I,,,
Barbados,BAR,O,,,
Belarus,BLR,C,,,
Belize,BIZ,O,,,
Belgium,BEL,F,,,
Bermuda,BER,O,,,
Botswana,BOT,Q,,,
Brazil,BRA,N,,,
British Virgin Islands,IVB,O,,,
Brunei,BRU,K,,,
Bulgaria,BUL,C,,,
Canada,CAN,P,,,
Cayman Islands,CAY,O,,,
Chile,CHI,M,,,
"China, PR",CHN,J,,,
Chinese Taipei,TPE,J,,,
Colombia,COL,O,,,
Cook islands,COK,L,,,
Croatia,CRO,B,,,
Cuba,CUB,O,,,
Cyprus,CYP,D,,,
Czech Republic,CZE,B,,,
Denmark,DEN,G,,,
Djibouti,DJI,Q,,,
Dominican Republic,DOM,O,,,
Ecuador,ECU,M,,,
Egypt,EGY,Q,,,
El salvador,ESA,O,,,
Estonia,EST,G,,,
Fiji,FIJ,L,,,
Finland,FIN,G,,,
France,FRA,D,,,
FYRO Macedonia,MKD,C,,,
Georgia,GEO,H,,,
Germany,GER,B,,,
Great Britain,GBR,A,,,
Greece,GRE,D,,,
Grenada,GRN,O,,,
Guam,GUM,J,,,
Guatemala,GUA,O,,,
Hong Kong,HKG,J,,,
Hungary,HUN,B,,,
Iceland,ISL,G,,,
India,IND,K,,,
Indonesia,INA,K,,,
Iran,IRN,I,,,
Iraq,IRQ,I,,,
Ireland,IRL,A,,,
Israel,ISR,D,,,
Italy,ITA,D,,,
Jamaica,JAM,O,,,
Japan,JPN,J,,,
Kazakhstan,KAZ,H,,,
Kenya,KEN,Q,,,
Korea,KOR,J,,,
Kosovo,KOS,C,,,
Kyrgyzstan,KGZ,H,,,
DPR Korea,PRK,J,,,
Kuwait,KUW,I,,,
Latvia,LAT,G,,,
Lebanon,LIB,D,,,
Libya,LBA,Q,,,
Liechtenstein,LIE,B,,,
LIthuania,LTU,G,,,
Luxembourg,LUX,F,,,
Macau,,Assoc,,,
Madagascar,MAD,Q,,,
malaysia,MAS,K,,,
Malta,MLT,D,,,
Mauritius,MRI,Q,,,
Mexico,MEX,O,,,
Moldova,MDA,C,,,
Monaco,MON,D,,,
Morocco,MAR,Q,,,
Montenegro,MNE,C,,,
Montserrat,MNT,Assoc,,,
Mozambique,MOZ,Q,,,
Myanmar,MYA,K,,,
Namibia,NAM,Q,,,
Netherlands,NED,F,,,
Netherland Antilles (Curacao and St Maarten),AHO,O,,,
New Zealand,NZL,L,,,
Nigeria,NIG,Q,,,
Norway,NOR,G,,,
Oman,OMA,I,,,
Pakistan,PAK,K,,,
Palestine,PLE,I,,,
Panama,PAN,O,,,
Papua New Guinea,PNG,L,,,
Paraguay,PAR,N,,,
Peru,PER,M,,,
Philippines,PHI,J,,,
Poland,POL,C,,,
Portugal,POR,E,,,
Puerto Rico,PUR,O,,,
Qatar,QAT,I,,,
Romania,ROU,C,,,
Russia,RUS,H,,,
Samoa,SAM,L,,,
San Marino,SMR,D,,,
Saudi Arabia,KSA,I,,,
Senegal,SEN,Q,,,
Serbia,SRB,C,,,
Seychelles,SEY,Q,,,
Singapore,SIN,K,,,
Slovak Republic,SVK,B,,,
Slovenia,SLO,B,,,
South Africa,RSA,Q,,,
Spain,ESP,E,,,
Sri Lanka,SRI,K,,,
St Kitts and Nevis,SKN,O,,,
St Lucia,LCA,O,,,
Sudan,SUD,Q,,,
Sweden,SWE,G,,,
Switzerland,SUI,B,,,
Tahiti,TAH,L,,,
Tanzania,TAN,Q,,,
Thailand,THA,K,,,
Timor Leste,TLS,K,,,
Trinidad & Tobago,TTO,O,,,
Tunisia,TUN,Q,,,
Turkey,TUR,D,,,
Turks and Caicos,TKS,Assoc,,,
Uganda,UGA,Q,,,
Ukraine,UKR,C,,,
United Arab Emirates,UAE,I,,,
United States of America,USA,P,,,
Uruguay,URU,M,,,
US Virgin Islands,ISV,O,,,
Vanuatu,VAN,I,,,
Venezuela,VEN,O,,,
Vietnam,VIE,K,,,
Zimbabwe,ZIM,Q,,,
